realDistance	heuristic	count
0	0	1458
1	4	52
1	1	2704
2	5	52
2	2	5252
2	6	52
3	3	3900
3	7	26
4	8	2600
4	4	1300
4	7	26
5	13	2925
5	9	19500
5	10	62400
6	10	62400
6	9	15600
6	11	62400
6	13	325
7	5	15600
7	11	62400
7	15	31200
7	14	15600
8	10	15600
8	6	15600
8	17	717600
8	16	717600
8	19	15600
8	15	187200
9	19	18200
9	15	187200
9	17	717600
9	16	717600
10	19	2600
10	12	119600
10	7	119600
10	8	119600
11	21	9686
11	20	4050
11	25	3934
--- end of histogram ---
realDistance	heuristic	count
0	0	1458
1	1	2756
2	2	2756
2	1	2600
3	2	3926
4	3	1326
4	2	2600
5	3	84500
5	2	325
6	3	140725
7	2	15600
7	3	109200
8	2	31200
8	3	1638000
9	3	1638000
9	2	2600
10	3	2600
10	2	358800
11	3	16910
11	2	760
--- end of histogram ---
